	Nodes	Loss	Algo1_012_Sym_Diff	Algo1_012_Duration_(sek)	Algo1_120_Sym_Diff	Algo1_120_Duration_(sek)	Algo1_210_Sym_Diff	Algo1_210_Duration_(sek)	Algo2_Sym_Diff	Algo2_Duration_(sek)
2836	25	30	0,0	0,00035	0,0	0,00411	0,0	0,00364	0,0	2,53331
2837	25	60	0,0	0,00028	0,0	0,00132	0,0	0,00124	0,0	2,20568
2838	25	40	0,0	0,00033	0,0	0,0036	0,0	0,00317	0,0	3,01835
2839	25	50	0,0	0,00033	0,0	0,00317	0,0	0,00291	0,0	3,4318
2840	25	70	0,0	0,00031	0,0	0,00191	0,0	0,0019	0,0	4,07114
2841	25	80	0,0	0,0003	0,0	0,00148	0,0	0,00149	0,0	4,31308
2842	25	10	0,0	0,01157	0,0	0,01179	0,0	0,01064	0,0	3,62779
2843	25	90	0,56	0,01043	0,54	0,01046	0,443	0,02503	0,413	9,00862
2844	25	20	0,0	0,01927	0,0	0,02088	0,0	0,01857	0,0	6,47994
2845	25	90	0,0	0,0003	0,23	0,00141	0,23	0,00828	0,23	8,26353
2846	25	30	0,0	0,01867	0,0	0,01947	0,0	0,01672	0,0	7,05041
2847	25	60	0,0	0,00772	0,0	0,00979	0,0	0,0091	0,0	4,61479
2848	25	10	0,0	0,00035	0,0	0,00498	0,0	0,00458	0,0	1,31417
2849	25	20	0,0	0,0003	0,0	0,00241	0,0	0,00215	0,0	1,12389
2850	25	40	0,0	0,01656	0,0	0,01759	0,0	0,01567	0,0	7,85714
2851	25	50	0,0	0,01552	0,0	0,01555	0,0	0,01356	0,0	7,87831
2852	25	40	0,0	0,00035	0,0	0,00229	0,0	0,00169	0,0	1,66693
2853	25	30	0,0	0,00035	0,0	0,00393	0,0	0,0038	0,0	2,52191
2854	25	70	0,0	0,01176	0,0	0,01217	0,0	0,01113	0,0	8,27807
2855	25	70	0,0	0,00028	0,0	0,00104	0,0	0,00103	0,0	2,27224
2856	25	10	0,0	0,00035	0,0	0,00279	0,0	0,00266	0,0	0,73667
2857	25	50	0,0	0,00032	0,0	0,00304	0,0	0,00274	0,0	3,4217
2858	25	60	0,0	0,00034	0,0	0,00229	0,0	0,00229	0,0	3,75214
2859	25	20	0,0	0,00031	0,0	0,00231	0,0	0,00211	0,0	1,08332
2860	25	80	0,0	0,00033	0,0	0,00147	0,0	0,00149	0,0	4,30602
2861	25	30	0,0	0,00035	0,0	0,00403	0,0	0,00367	0,0	2,51335
2862	25	50	0,0	0,0003	0,0	0,00178	0,0	0,0015	0,0	1,92709
2863	25	40	0,0	0,00036	0,0	0,00365	0,0	0,00328	0,0	3,00634
2864	25	80	0,0	0,00027	0,0	0,00083	0,0	0,0008	0,0	2,46239
2865	25	60	0,0	0,00031	0,0	0,00231	0,0	0,00228	0,0	3,88182
2866	25	90	0,0	0,0003	0,08	0,00143	0,08	0,00332	0,08	8,2686
2867	25	10	0,0	0,00031	0,0	0,00264	0,0	0,00243	0,0	0,72416
2868	25	70	0,0	0,0003	0,0	0,00189	0,0	0,00188	0,0	4,06505
2869	25	20	0,0	0,00033	0,0	0,00432	0,0	0,00388	0,0	1,95425
2870	25	40	0,0	0,0003	0,0	0,00227	0,0	0,00243	0,0	1,68468
2871	25	30	0,0	0,00033	0,0	0,0045	0,0	0,00352	0,0	2,54139
2872	25	90	0,537	0,02846	0,54	0,02764	0,453	0,04548	0,253	15,18083
2873	25	80	0,197	0,03072	0,22	0,03172	0,22	0,0321	0,15	16,86622
2874	25	50	0,0	0,0003	0,0	0,00297	0,0	0,00269	0,0	3,4294
2875	25	70	0,0	0,00027	0,0	0,00104	0,0	0,00103	0,0	2,26616
2876	25	10	0,0	0,00522	0,0	0,00708	0,0	0,01014	0,0	1,75861
2877	25	60	0,0	0,00037	0,0	0,00266	0,0	0,00231	0,0	3,79728
2878	25	90	0,0	0,00031	0,08	0,00145	0,08	0,00337	0,08	8,00219
2879	25	30	0,0	0,00288	0,0	0,00338	0,0	0,00488	0,0	1,6592
2880	25	20	0,0	0,00455	0,0	0,00645	0,0	0,00913	0,0	2,32016
2881	25	80	0,0	0,00033	0,0	0,00159	0,0	0,0015	0,0	4,31083
2882	25	90	0,0	0,00029	0,0	0,00107	0,0	0,00108	0,0	4,45427
2883	25	10	0,0	0,00037	0,0	0,00496	0,0	0,00471	0,0	1,31566
2884	25	40	0,0	0,00411	0,0	0,00601	0,0	0,00753	0,0	3,42414
2885	25	70	0,003	0,00288	0,003	0,00272	0,003	0,00329	0,01	3,14027
2886	25	50	0,0	0,00345	0,0	0,00508	0,0	0,00696	0,0	3,76632
